ID,Team
41,Connecticut
151,East Carolina
248,Houston
235,Memphis
2426,Navy
2567,SMU
58,South Florida
218,Temple
2655,Tulane
202,Tulsa
2116,UCF
103,Boston College
228,Clemson
150,Duke
52,Florida State
59,Georgia Tech
97,Louisville
2390,Miami
152,NC State
153,North Carolina
221,Pittsburgh
183,Syracuse
258,Virginia
259,Virginia Tech
154,Wake Forest
239,Baylor
66,Iowa State
2305,Kansas
2306,Kansas State
201,Oklahoma
197,Oklahoma State
2628,TCU
251,Texas
2641,Texas Tech
277,West Virginia
356,Illinois
84,Indiana
2294,Iowa
120,Maryland
130,Michigan
127,Michigan State
135,Minnesota
158,Nebraska
77,Northwestern
194,OSU
213,Penn State
2509,Purdue
164,Rutgers
275,Wisconsin
2429,Charlotte
2226,Florida Atlantic
2229,Florida Intl
2348,Louisiana Tech
276,Marshall
2393,Middle Tennessee
249,North Texas
295,Old Dominion
242,Rice
2572,Southern Mississippi
5,UAB
2636,UT San Antonio
2638,UTEP
98,Western Kentucky
349,Army
252,BYU
113,Massachusetts
87,Notre Dame
2006,Akron
2050,Ball State
189,Bowling Green
2084,Buffalo
2117,Central Michigan
2199,Eastern Michigan
2309,Kent State
193,Miami (OH)
2459,Northern Illinois
195,Ohio
2649,Toledo
2711,Western Michigan
2005,Air Force
68,Boise State
36,Colorado State
278,Fresno State
62,Hawai'i
2440,Nevada
167,New Mexico
21,San Diego State
23,San José State
2439,UNLV
328,Utah State
2751,Wyoming
12,Arizona
9,Arizona State
25,California
38,Colorado
2483,Oregon
204,Oregon State
24,Stanford
26,UCLA
30,USC
254,Utah
264,Washington
265,Washington State
333,Alabama
8,Arkansas
2,Auburn
57,Florida
61,Georgia
96,Kentucky
99,LSU
344,Mississippi State
142,Missouri
145,Ole Miss
2579,South Carolina
2633,Tennessee
245,Texas A&M
238,Vanderbilt
2026,Appalachian State
2032,Arkansas State
324,Coastal Carolina
290,Georgia Southern
2247,Georgia State
70,Idaho
309,Louisiana
2433,Louisiana Monroe
166,New Mexico State
6,South Alabama
326,Texas State
2653,Troy
